source,target,value
Indonesian,Spanish,0.03571428571428571
French,German,0.07407407407407407
French,Spanish,0.07142857142857142
French,Portuguese,0.19230769230769232
French,Dutch,0.17647058823529413
French,Polish,0.18181818181818182
German,French,0.04716981132075472
German,Spanish,0.03571428571428571
German,Dutch,0.47058823529411764
German,Polish,0.2727272727272727
German,Italian,0.14285714285714285
Russian,French,0.009433962264150943
Russian,Portuguese,0.11538461538461539
Spanish,French,0.018867924528301886
Spanish,German,0.018518518518518517
Spanish,Portuguese,0.2692307692307692
Spanish,Dutch,0.23529411764705882
Portuguese,French,0.04716981132075472
Portuguese,German,0.018518518518518517
Portuguese,Spanish,0.17857142857142858
Portuguese,Dutch,0.11764705882352941
Dutch,French,0.03773584905660377
Dutch,German,0.037037037037037035
Dutch,Spanish,0.14285714285714285
Dutch,Portuguese,0.038461538461538464
Turkish,French,0.018867924528301886
Turkish,German,0.05555555555555555
Turkish,Spanish,0.03571428571428571
Polish,French,0.02830188679245283
Polish,German,0.018518518518518517
Polish,Russian,0.03125
Polish,Spanish,0.03571428571428571
Arabic,Spanish,0.03571428571428571
Arabic,Turkish,0.08333333333333333
Arabic,Farsi,0.25
Hungarian,German,0.018518518518518517
Hungarian,Spanish,0.17857142857142858
Hungarian,Portuguese,0.038461538461538464
Hungarian,Dutch,0.058823529411764705
Chinese,French,0.009433962264150943
Chinese,Spanish,0.07142857142857142
Chinese,Portuguese,0.07692307692307693
Chinese,Dutch,0.058823529411764705
Farsi,Spanish,0.03571428571428571
Farsi,Portuguese,0.038461538461538464
Farsi,Dutch,0.058823529411764705
Farsi,Italian,0.2857142857142857
Swedish,French,0.009433962264150943
Swedish,German,0.037037037037037035
Swedish,Spanish,0.14285714285714285
Italian,French,0.009433962264150943
Italian,German,0.05555555555555555
Italian,Spanish,0.03571428571428571
Italian,Dutch,0.11764705882352941
Hebrew,Dutch,0.058823529411764705
Hebrew,Polish,0.09090909090909091
Japanese,Portuguese,0.11538461538461539
Japanese,Chinese,0.1111111111111111
Finnish,German,0.037037037037037035
Finnish,Italian,0.14285714285714285
Czech,Portuguese,0.038461538461538464
Czech,Dutch,0.058823529411764705
Bulgarian,Russian,0.03125
Greek,German,0.018518518518518517
Slovene,Polish,0.09090909090909091
Danish,Spanish,0.03571428571428571
Esperanto,Spanish,0.03571428571428571
